year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1962,Let Me In,The Sensations,Pop,4,18,280000,54,0.283,0.614,-8.008,0.027,0.114
1962,I've Been Everywhere,Hank Snow,Country,68,8,166333,34,0.528,0.465,-14.134,0.0453,0.408
1962,Speedy Gonzales,Pat Boone,Pop,6,13,204000,46,0.945,0.586,-6.465,0.165,0.89
1962,Johnny Get Angry,Joanie Sommers,Pop,7,14,156000,30,0.27,0.628,-14.47,0.0359,0.325
1962,Let There Be Drums,Sandy Nelson,Pop,7,16,138000,39,0.819,0.594,-11.067,0.0378,0.0613
1962,Twist And Shout,The Isley Brothers,R&B,17,16,155400,51,0.811,0.774,-6.526,0.0355,0.0736
1962,Twist And Shout,The Isley Brothers,Funk,17,16,155400,51,0.811,0.774,-6.526,0.0355,0.0736
1962,Soldier Boy,The Shirelles,R&B,1,14,162026,42,0.238,0.576,-13.354,0.0259,0.294
1962,Limbo Rock,Chubby Checker,Pop,2,23,148000,45,0.894,0.745,-4.811,0.0376,0.0753
1962,Venus In Blue Jeans,Jimmy Clanton,Pop,7,13,143000,54,0.762,0.497,-4.462,0.038,0.278
1962,I Remember You,Frank Ifield,Pop,5,11,243000,67,0.536,0.584,-8.158,0.0279,0.456
1962,Beechwood 4-5789,The Marvelettes,R&B,17,11,133613,37,0.67,0.631,-4.755,0.0336,0.167
1962,Sealed With A Kiss,Brian Hyland,Pop,3,14,162000,59,0.362,0.449,-10.38,0.0279,0.132
1962,Snap Your Fingers,Joe Henderson,Pop,8,12,251000,53,0.788,0.668,-6.752,0.0424,0.0792
1962,I Can't Stop Loving You,Ray Charles,Jazz,1,18,243448,15,0.421,0.595,-8.291,0.0326,0.129
1962,Soothe Me,Sam & Dave,R&B,56,7,152333,49,0.334,0.746,-13.418,0.13,0.258
1962,The Wanderer,Dion,Pop,2,18,168000,64,0.546,0.59,-10.213,0.0436,0.0936
1962,Break It To Me Gently,Brenda Lee,Pop,4,13,164000,57,0.26,0.539,-10.414,0.0268,0.134
1962,Teen Age Idol,Rick Nelson,Pop,5,11,156000,10,0.41,0.706,-13.943,0.027,0.0654
1962,Love Me Warm And Tender,Paul Anka,Pop,12,12,139000,30,0.611,0.628,-8.583,0.0449,0.41
1962,You Beat Me To The Punch,Mary Wells,Pop,9,12,165000,51,0.398,0.75,-14.516,0.0466,0.18
1962,Everybody Loves Me But You,Brenda Lee,Pop,6,11,215000,28,0.845,0.379,-8.844,0.0358,0.0371
1962,You Belong To Me,The Duprees,Pop,7,13,231000,81,0.773,0.632,-4.856,0.0346,0.0885
1962,Only Love Can Break A Heart,Gene Pitney,Pop,2,14,188000,56,0.239,0.732,-12.198,0.037,0.0972
1962,Mashed Potato Time,Dee Dee Sharp,Pop,2,18,150000,41,0.473,0.674,-7.193,0.0362,0.0593
1962,Lovers Who Wander,Dion,Pop,3,12,151000,42,0.382,0.51,-13.637,0.0613,0.122
1962,Wolverton Mountain,Claude King,Pop,6,16,179000,42,0.375,0.657,-15.874,0.0527,0.195
1962,Patches,Dickey Lee,Pop,6,14,193000,44,0.544,0.639,-12.843,0.141,0.479
1962,Adios Amigo,Jim Reeves,Country,90,6,150266,27,0.166,0.476,-16.004,0.0291,0.121
1962,Palisades Park,Freddy Cannon,Pop,3,15,110000,37,0.75,0.305,-6.764,0.0431,0.189
1962,Lover Please,Clyde McPhatter,Pop,7,14,247000,48,0.122,0.269,-10.408,0.0334,0.0915
